nr,bid,brewery,name,kind,link,abv,ibu,rating,nr_raters,adding_date,text,country,malt,hops,chocolate,german,banana,vanilla,caramel,yeast,fruit,whiskey,rhum,alcohol,gluten,barrel,rye,barley,cocoa,small/lower,big/upper,Altbier,Barleywine,Blonde,Duppel,Quadrupel,Tripel,Cider,Fruit,IPA,Kölsch,Lager,Non-Alcoholic,Pilsner,Porter,Wheat,Sour,Stout,Ale,Other
10,3637232,Crow Brewery,Peacock #5,IPA - Imperial / Double New England / Hazy,https://untappd.com/b/crow-brewery-peacock-5/3637232,8.0,42,3.92,179,01/22/20,"Double NE IPA, sa Sabro cryo, Citra cryo i Mosaic hmeljevima u dry hopu.Ziveli!  ",serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,4980992,Dogma Brewery,Westie of the Tulips,IPA - Imperial / Double New England / Hazy,https://untappd.com/b/dogma-brewery-westie-of-the-tulips/4980992,8.0,30,3.92,1655,08/17/22,Westie Of The Tulips came a long way from Netherlands for our first collaboration with Dutch breweries. This beer is potent & juicy. That's just enough to tell! ,serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,4651818,3bir,Rigor Mortis,Stout - Russian Imperial,https://untappd.com/b/3bir-rigor-mortis/4651818,10.5,N/A,3.9,321,12/23/21,"Rigor Mortis, zver koja je je svoju apsolutnu ličnost oformila u periodu od 12 meseci u Merlot/Probus buradima. Struktura dominantnog karaktera dovela je do sveobuhvatne koegzistencije složenog pivskog ukusa i egzotičnog vinskog karaktera. ",serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,4607959,3bir,Three Hoppy Sisters,IPA - Triple New England / Hazy,https://untappd.com/b/3bir-three-hoppy-sisters/4607959,8.7,N/A,3.9,825,11/24/21,"Strast prema kuvanju piva ne krijemo, a traganje za novim ukusima nas je često odvelo ne samo do novog pivskog recepta već i do sjajnih saradnji sa drugim pivarama. Tako se ideja o Three hoppy sisters pivu rodila. Simbolično, Three hoppy sisters predstavlja sponu između @twohoppysisters i Zbir pivare. Smela i do sad zapravo neviđena kod nas, ova Triple Neipa satkana je od obilja ječma, pšenice i hmelja. Kremasta, balansirane gorčine sa mrvicom kiselkastih nota, Three hoppy sisters biće vam definitivno dobro društvo nakon napornog dana i dnevnih obaveza. ",serbia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,5305704,Dogma Brewery,Serbian Barrels Series #7 - Imperial Quince Sour,Sour - Fruited,https://untappd.com/b/dogma-brewery-serbian-barrels-series-7-imperial-quince-sour/5305704,9.5,5,3.9,214,04/07/23,Number 7 is here! An Imperial Quince Sour produced with mixed fermentation - imperial kettle sour on one & fermented quince wine on other. Those two mixed went to Serbian wine barrels and aged for six months.  ,serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,3565363,Crow Brewery,Black Widow Kentucky Bourbon,Stout - Russian Imperial,https://untappd.com/b/crow-brewery-black-widow-kentucky-bourbon/3565363,12.5,60,3.9,150,12/06/19,Russian Imperial Stout aged 9 months in Kentucky Bourbon barrels. ,serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,4701926,Dogma Brewery,Muma Paduri Mountain IPA,IPA - American,https://untappd.com/b/dogma-brewery-muma-paduri-mountain-ipa/4701926,7.2,60,3.9,1183,02/04/22,"Muma Paduri is a myth. She's Mother of Nature which protects woods in Eastern Serbia. And it's perfect to descirbe our collaboration brew with friends from Zmajska Pivovara - this new hybrid among IPA's. Super potent, somewhere between West & East Coast, but still American IPA in all atributes! ",serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,4422551,Dogma Brewery,5th Anniversary Beer #4 - KVEIK NEIPA,IPA - New England / Hazy,https://untappd.com/b/dogma-brewery-5th-anniversary-beer-4-kveik-neipa/4422551,6.7,N/A,3.9,780,07/22/21,5 BEERS FOR 5 YEARS! #4 in our 5th Anniversary Beer edition - that nasty  KVEIK yeast is to blame for this juicy brew. There is also our friend Minja with his Dead Water Brewing Co. homebrew alias and his knowledge for this beer style. Cheers brother!  ,serbia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,3790321,Dogma Brewery,HOPE,IPA - New England / Hazy,https://untappd.com/b/dogma-brewery-hope/3790321,6.4,35,3.89,5940,05/18/20,"Dictionary says that HOPE is a feeling of expectation and desire for a particular thing to happen. As the whole planet went to a lockdown, we decided to brew this juicy hazy IPA with loads of Sabro, El Dorado, Idaho 7 and Citra hops. And we decided with our partners from Ball Packaging to donate 100 dinars from every can and to help socially vulnerable groups in our country!  ",serbia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,4196728,Dogma Brewery,MANGOA,IPA - Imperial / Double New England / Hazy,https://untappd.com/b/dogma-brewery-mangoa/4196728,8.0,50,3.89,1426,02/26/21,"Story about GOA island is well known all over the world. Story about MANGOA will be written by every sip of yours. Full & rich, well balanced and powerfull, this true milkshake in a beer world will make your day colorfull! Yes you'll start to fantasize about the island of GOA. Party can start with mango & milky tones fully supported by a touch of Sabro hops! ",serbia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
