beer_text,brewery,beer
"beer kind: Sour - Smoothie / Pastry |description: Pastry Sour Ale w/ Blackcurrant, Prunes & Tonka, 23° Plato, 6.1% ABV. Náš nový tekutý dezert právě přichází! Kromě toho, že je toto Yummy tradičně hustě krémové, je také nádherně fialové a plné černého rybízu. Skvěle se snoubí s lehkou kouřovostí sušených švestek a bohatým aroma bobů tonka. Balancujíc mezi ovocnou sladkostí a kyselostí z mléčného kvašení, je to další pivo, která se vzpírá pivní tradici.Here comes the new liquid dessert! Besides being thick and creamy, this Yummy is gorgeously purple and crammed with blackcurrant. These pair nicely with the slight smokiness of prunes and the rich aroma of tonka beans. Balancing between fruity sweetness and sourness from lactic fermentation, this is yet another beer tradition-defying beast of a beer. |ABV: 6.1 |IBU: N/A |rating: 4.04",Sibeeria Brewery,"Yummy Blackcurrant, Prunes & Tonka"
"beer kind: Wild Ale - Other |description: Coolshipped and spontaneously fermented beer in an oak barrel for 16 months and aged further on organic local sour cherries for 12 months. In this one I am trying to capture the unique essence of one day into a beer and imprint of local terroir and layering the hand picked organic sour cherries from a local orchard. Multiple varieties of organic cherries give a really complex expression of the fruit and prolonged aging make for a deep, rich flavour. The backbone of a beer is built on local organic barley malt and raw organic spelt from the local Hare Krishna community, where they live and function in a low intervention and organic way for the last 3 decades. |ABV: 7.5 |IBU: N/A |rating: 4.04",Métaphore,Here And Now: Cherry
beer kind: Stout - Imperial / Double Coffee |description:  |ABV: 13.0 |IBU: N/A |rating: 4.04,Pivovar ZICHOVEC,Coffee Stout 2021
beer kind: Kölsch |description: Kooperační várka s pivovarem Zhůřák.  |ABV: 6.5 |IBU: N/A |rating: 4.04,Pivovar ZICHOVEC,Brewstock Juice 15
"beer kind: IPA - Triple New England / Hazy |description: Triple NEIPA, 24° Plato, 9.5% ABV. Tentokrát jsme to pojali ve velkém. Vysoký obsah alkoholu, vysoký podíl vloček a, což je nejdůležitější, obrovské množství chmele. Tohle je nejsilnější NEIPA, jakou jsme doposud uvařili, a chtěli jsme, aby tak i chutnala. Sáhli jsme proto po kombinaci chmelů Cryo Pop, Pacific Sunrise, Motueka a Talus pro dosažení pořádného chmelového charakteru plného papáji, marakuji, liči a žlutého melounu. Tohle krémové a expresivní pivo má za cíl zaútočit na vaše smysly svou intenzitou a hezky vás zahřát.This time we went big. Big on alcohol, big on oats and, most importantly, big on hops. This is the strongest NEIPA we’ve ever brewed and we wanted it to taste that way, so we went with combination of Cryo Pop, Pacific Sunrise, Motueka and Talus for a really intense hop character dominated by papaya, lychee, passion fruit and honeydew melon pulp. This smooth and expressive beer is designed to warm you up and overwhelm all your senses with its intensity. |ABV: 9.5 |IBU: N/A |rating: 4.03",Sibeeria Brewery,Three Suns
"beer kind: Stout - Imperial / Double |description: Barrel Aged Imperial Stout, 27° Plato, 10.5% ABV. Pět dřevěných barelů (bourbon, sherry, whisky) tvoří tento komplexní, robustně pražený a hořký, ale zároveň jemný a harmonický stout. Pivo zrálo dlouhých 15 měsíců a charakteru dominuje aroma dýmu s nádechem slaného mořského vzduchu z whisky barelu, které vyvažují jemné vanilkové tóny bourbonu a náznak ovocného sherry. Nepospíchejte s ním – pijte ho pomalu a objevujte jeho jednotlivé vrstvy.The name is inspired by a selection of five barrels that went into this blend of wood-aged imperial stouts, where each of them plays its role. A combination of freshly emptied bourbon barrels, a whisky-filled Sherry cask and one intensely peated Islay whisky barrel that held several stouts for 15 months created a complex, oily beer. Roasty and bitter, yet smooth and harmonic, just the way we like them. The salty smokiness of the peat is balanced with light vanilla notes of bourbon and a touch of Sherry fruitiness,  creating the taste most closely resembling liquorice. That leads to a robust, intense finish with a slight warming sensation. Take your time and sip slowly to explore all of its layers. |ABV: 10.5 |IBU: N/A |rating: 4.03",Sibeeria Brewery,Pentagram
"beer kind: Sour - Smoothie / Pastry |description: Pastry Sour Ale w/ Mango, Pineapple & Passion Fruit,  20° Plato, 7.1% ABV. Barevné spojení piva a ovocného džusu: nerozumně šílené množství manga, ananasu a marakuji je smíchané s kyselým základem, vše je zjemněné vločkami a laktózou, což nám vytváří jasně žluté smoothie pro dospělé. A colourful clash of beer and fruit juice: unreasonable amounts of mango, pineapple and passion fruit mixed with sour base smoothened by oat/wheat flakes and lactose result in brightly yellow adult smoothie. We designed our juicy tropical beer to be less cloying and more drinkable, so you can enjoy this tropical paradise in bigger gulps. |ABV: 7.1 |IBU: N/A |rating: 4.03",Sibeeria Brewery,Yummy Mango w/ Pineapple & Passion Fruit
"beer kind: Barleywine - Other |description: 30 měsíců nám trvalo, než jsme usoudili, že jsou naše bourbonové sudy plné barley wine připravené na vyprázdnění. Toto je blend tří sudů, které jsme ochutili javorovým sirupem a směsí indického koření Masala Chai. Etiketu pro nás vytvořila nadaná výtvarnice a naše lounská sousedka Lenka Kladivová.It took us 30 months to finally decide that our bourbon barrels full of barley wine were ready to be emptied. This is a blend of three barrels that we flavored with maple syrup and a blend of Indian Masala Chai spices. The label was created for us by Lenka Kladivová, a talented artist and our neighbor from Louny. |ABV: 11.0 |IBU: N/A |rating: 4.03",Pivovar ZICHOVEC,Masala Chai Barley Wine 2024
"beer kind: Wild Ale - Other |description: Many cultures golden beer aged in oak barrels with apricots.~The summer of 2019 was peculiar. As a heatwave advanced through the region of Moravia, these organic hand-picked apricots ripened astonishingly quickly, producing a lot of sweetness, yet keeping most of their sourness. This beer is a bottled timestamp of that unusual summer. |ABV: 7.0 |IBU: 15 |rating: 4.03",Many Worlds,Many Worlds Coming of Age (2019)
beer kind: Wild Ale - Other |description:  |ABV: 5.9 |IBU: N/A |rating: 4.03,Métaphore,I Love It When You Talk Dirty To Me
"beer kind: Sour - Smoothie / Pastry |description: Pastry Sour Ale w/ Raspberry, Blackberry & Vanilla, 20° Plato, 6.1% ABV. Naše poslední Yummy zmizelo dřív, než jsme čekali, proto jsme se promptně pustili do vaření dalšího. Ječný a pšeničný slad, pšeničné vločky a laktóza s obligátní hromadou vanilky opět vytvořili základ pro nápoj, který jen sotva připomíná pivo. Hlavním důvodem by mohlo být to, že maliny a ostružiny tvoří téměř polovinu jeho objemu. Tohle dekadentně husté, příjemně sladké a krémově husté pivo s osvěžujícím kyselým dojezdem je přesně to, co dnes lidi od tekutých dezertů pro dospělé pod jménem Yummy očekávají.Our last Yummy was gone sooner than we expected, so we promptly got to brewing another one. Malted barley and wheat, flaked wheat and lactose with an overdose of vanilla yet again create the base for what doesn’t really feel like a beer. That is mostly due to the fact that raspberries and blackberries make up almost half of the volume. Decadently thick, pleasantly sweet and smoothly thick with a refreshing tart finish, this is exactly what people came to expect from the liquid dessert for adults called Yummy. |ABV: 6.1 |IBU: N/A |rating: 4.03",Sibeeria Brewery,"Yummy Raspberry, Blackberry & Vanilla"
beer kind: IPA - New England / Hazy |description:  |ABV: 7.0 |IBU: N/A |rating: 4.02,Pivovar ZICHOVEC,Double Stolen Haze 17
