nr,bid,brewery,name,kind,link,abv,ibu,rating,nr_raters,adding_date,text,country
11,1866921,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery,XYAUYÙ etichetta oro/ golden label- RISERVA 2013,Barleywine - Other,https://untappd.com/b/birrificio-agricolo-baladin-baladin-indipendente-italian-farm-brewery-xyauyu-etichetta-oro-golden-label-riserva-2013/1866921,14.0,15,4.35,1840,12/17/16,"ITALIANO - Una birra viva ad alta fermentazione che incontrando l’aria pura delle Langhe e riposando per lungo tempo è divenuta un prodotto nuovo, unico. All’aspetto si presenta limpida, priva di schiuma e gasatura, con un colore intenso, di tono ambrato carico e riflessi ramati. Al primo naso esprime grande intensità, emergono sentori di frutta secca e canditi con importanti e armoniose note che ci riportano al vino Madeira.ENGLISH - Xyauyù is a living, top-fermented beer which – after being exposed to the air of the Langhe area and resting for a long period of time – becomes a new and unique product. When poured, it has no head and no gas; it has a clear, full amber, brownish color with copper reflections. When initially inhaled it is very intense, with aromas of dried and candied fruit and strong and harmonious notes which bring Madeira wines to mind. ",italy
12,4647831,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery,XYAUYÙ KENTUCKY - RISERVA 2017,Barleywine - Other,https://untappd.com/b/birrificio-agricolo-baladin-baladin-indipendente-italian-farm-brewery-xyauyu-kentucky-riserva-2017/4647831,14.0,15,4.35,1409,12/20/21, ,italy
13,2885241,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery,XYAUYÙ KIOKE,Barleywine - Other,https://untappd.com/b/birrificio-agricolo-baladin-baladin-indipendente-italian-farm-brewery-xyauyu-kioke/2885241,14.0,15,4.34,4253,10/10/18,"ITA-Xyauyù Kioke è una birra che unisce due grandi tradizioni artigiane legate al mondo della fermentazione: l’arte di produrre birra artigianale, incontra l’arte di produrre salsa di soia artigianale. Kioke è una botte priva di chiusura, in legno di Cipresso, prodotta in Giappone, nell’isola di Shodo da Yasuo Yamamoto (Yamaroku Shoyu) in cui fermenta la soia. Xyauyù nasce in Italia, a Piozzo, nel birrificio agricolo Baladin, dal desiderio di Teo Musso di esplorare l’universo delle ossidazioni.La birra, già fermentata e maturata per oltre 18 mesi, viene affinata “a cielo aperto” in una botte di Kioke nuova in cui non è stata fermentata la soia e che le dona note resinose di Cipresso e una leggera sfumatura acida, creando un profilo aromatico unico e originale.ENG-Xyauyù Kioke combines two great craft traditions in the world of fermentation: the art of beer making meets the art of producing craft soy sauce. The Kioke is an open cypress wooden barrel produced by Yasuo Yamamoto (Yamaroku Shoyu) in Japan, on the island of Shodo, and is used for the fermentation of soy sauce. Xyauyù was created in Piozzo, Italy, at the Baladin farm brewery, from Teo Musso’s desire to explore the universe of oxidation.The beer, once fermented and aged for 18 months, is open-air matured inside a new Kioke barrel, i.e. which has never been used for the fermentation of soy. The barrel gives resinous cypress notes and a slightly acidic touch, for a unique aromatic profile. ",italy
14,5619028,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery,XYAUYÚ BARREL - RISERVA 2018,Barleywine - Other,https://untappd.com/b/birrificio-agricolo-baladin-baladin-indipendente-italian-farm-brewery-xyauyu-barrel-2018/5619028,14.0,14,4.34,791,11/24/23, ,italy
15,5608860,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery,XYAUYÙ KENTUCKY - RISERVA 2018,Barleywine - Other,https://untappd.com/b/birrificio-agricolo-baladin-baladin-indipendente-italian-farm-brewery-xyauyu-kentucky-riserva-2018/5608860,14.0,N/A,4.33,725,11/17/23, ,italy
16,5486922,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery,XYAUYÙ 2018 Riserva Teo Musso,Barleywine - English,https://untappd.com/b/birrificio-agricolo-baladin-baladin-indipendente-italian-farm-brewery-xyauyu-2018-riserva-teo-musso/5486922,14.0,13,4.33,1201,08/15/23, ,italy
17,2915524,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery,XYAUYU' FUME - RISERVA 2014,Barleywine - Other,https://untappd.com/b/birrificio-agricolo-baladin-baladin-indipendente-italian-farm-brewery-xyauyu-fume-riserva-2014/2915524,14.0,15,4.32,1423,10/28/18,"ITALIANRappresenta l’espressione più complessa del pensiero di Teo nella creazione delle sue birre da divano. Una birra ad alta fermentazione che ha subito un processo di macro ossidazione e dodici mesi di maturazione in botti da whisky scozzese delle Islay, che le donano un naturale aroma torbato. Di colore bruno intenso con riflessi ramati, si presenta al bicchiere priva di schiuma e gasatura.ENGLISHIt represents the complex expression of Teo’s mind in the creation of his couch beers. An high fermented beer after a macro oxidation process and 12 month aging in Scottish whisky barrels from Islay, which give a natural and turbid aroma.  The color is deep dark brown with copper notes, in the glass is without cream and gas.   ",italy
18,362392,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery,XYAUYÙ BARREL - RISERVA 2013,Barleywine - Other,https://untappd.com/b/birrificio-agricolo-baladin-baladin-indipendente-italian-farm-brewery-xyauyu-barrel-riserva-2013/362392,14.0,15,4.31,1682,05/11/13,"ITALIANO - Nasce da un “pensiero perverso” di Teo e da anni di ricerca. Una birra ad alta fermentazione che ha subito un processo di macro ossidazione e una maturazione in botti di rovere che hanno ospitato grandi rum, che le donano profumi di datteri, caramello e un delicato ricordo di legno. Al bicchiere si presenta priva di gasatura e schiuma con note di colore bruno con riflessi ramati. XYAUYÙ BARREL, è ottima con il cioccolato e bevuta con calma a fine pasto. ENGLISH - Xyauyù Barrel is the result of a “wicked idea” of Teo’s and years of research. It is a top-fermented beer which has gone through macrooxidation and has been aged in oak rum barrels to give it scents of dates, caramel and a delicate wooden note. When poured, it has no head and no gas; it has a dark color with copper nuances. XYAUYÙ BARREL, is excellent with chocolate and drink slowly after a meal. ",italy
19,4644537,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery,XYAUYÙ Etichetta Oro/golden Label - RISERVA 2017,Barleywine - Other,https://untappd.com/b/birrificio-agricolo-baladin-baladin-indipendente-italian-farm-brewery-xyauyu-etichetta-oro-golden-label-riserva-2017/4644537,14.0,N/A,4.28,712,12/18/21, ,italy
20,1157094,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery,XYAUYÙ FUMÈ - RISERVA 2011,Barleywine - Other,https://untappd.com/b/birrificio-agricolo-baladin-baladin-indipendente-italian-farm-brewery-xyauyu-fume-riserva-2011/1157094,14.0,15,4.28,569,07/11/15,"ITALIANO - Rappresenta l’espressione più complessa della ricerca di Teo nella creazione delle sue birre da divano. Una birra ad alta fermentazione che ha subito un processo di macro ossidazione e dodici mesi di maturazione, in botti da whisky scozzese delle Islay, che le donano un naturale aroma torbato. Di colore bruno intenso con riflessi ramati, si presenta al bicchiere priva di schiuma e gasatura.ENGLISH - Xyauyù Fumè is the most complex expression of Teo’s approach to the creation of what he calls “couch beers”, to be enjoyed and savored slowly. It is a top-fermented beer which has undergone macro-oxidation and has been aged for twelve months in Islay Scottish whisky barrels, which give it a natural peaty flavor. It has a deep dark color with copper nuances; when poured, it has no head and no gas. ",italy
21,5609316,CRAK Brewery,Mansueto 2023,Barleywine - English,https://untappd.com/b/crak-brewery-mansueto-2023/5609316,13.0,N/A,4.28,1970,11/17/23,"Invecchiata prevalentemente in botti di Rum, Whisky e Porto, con un tocco di botte di vino, fa vivere un'esperienza straordinaria. Il colore ambrato profondo e gli aromi caramellati si fondono con note fruttate di uva passa e datteri. Il gusto rivela strati complessi di caramello, toffee e vaniglia, arricchiti da accenni di rovere e una piacevole leggera piccantezza persistente che aggiunge energia. Una birra che incanta con la sua armonia.  Dedicata a una persona speciale scomparsa qualche anno fa: il nostro caro falegname Mansueto. Abbiamo realizzato assieme a lui i supporti per le botti che ora sono impiegati nella nostra Cantina. Mansueto ha condiviso con noi la sua passione per il legno e per le cose fatte con le mani.Aged predominantly in barrels of Rum, Whisky, and Port, with a touch of wine barrel, it provides an extraordinary experience. The deep amber color and caramelized aromas blend with fruity notes of raisins and dates. The taste reveals complex layers of caramel, toffee, and vanilla, enriched with hints of oak and a pleasant light persistent spiciness that adds energy. A beer that enchants with its harmony.Dedicated to a special person who passed away a few years ago: our dear carpenter Mansueto. Together with him, we made the supports for the barrels that are now used in our cellar. Mansueto shared with us his passion for wood and things made by hand. ",italy
22,134501,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery,XYAUYÙ FUMÈ - RISERVA 2013,Barleywine - Other,https://untappd.com/b/birrificio-agricolo-baladin-baladin-indipendente-italian-farm-brewery-xyauyu-fume-riserva-2013/134501,14.0,15,4.28,2133,02/19/12,"ITALIANO - Rappresenta l’espressione più complessa della ricerca di Teo nella creazione delle sue birre da divano. Una birra ad alta fermentazione che ha subito un processo di macro ossidazione e dodici mesi di maturazione, in botti da whisky scozzese delle Islay, che le donano un naturale aroma torbato. Di colore bruno intenso con riflessi ramati, si presenta al bicchiere priva di schiuma e gasatura. XYAUYÙ FUMÈ, è ottima con il cioccolato e bevuta con calma a fine pasto. ENGLISH - Xyauyù Fumè is the most complex expression of Teo’s approach to the creation of what he calls “couch beers”, to be enjoyed and savored slowly. It is a top-fermented beer which has undergone macro-oxidation and has been aged for twelve months in Islay Scottish whisky barrels, which give it a natural peaty flavor. It has a deep dark color with copper nuances; when poured, it has no head and no gas. XYAUYÙ FUMÈ, is excellent with chocolate and drink slowly after a meal. ",italy
23,6078200,Brasseria Della Fonte,Notte Di Natale 2024 (Bourbon Barrel Aged),Stout - Imperial / Double,https://untappd.com/b/brasseria-della-fonte-notte-di-natale-2024-bourbon-barrel-aged/6078200,11.5,N/A,4.27,529,11/30/24,"Imperial Christmas Stout brewed with maple syrup. Aged in Heaven & Hill and Wyoming Bourbon barrels for 18 months, then conditioned on organic Ghana toasted and raw cocoa nibs and a soft touch of Cassia cinnamon sticks ",italy
24,5153802,CRAK Brewery,Mansueto 2022,Barleywine - Other,https://untappd.com/b/crak-brewery-mansueto-2022/5153802,13.5,N/A,4.26,1578,12/09/22,"Anche il 2022 ci ha “regalato” una grande annata per la nostra Mansueto.Dopo i periodici assaggi durante l’anno che ci davano ottime speranze per un’annata importante, nelle ultime settimana le degustazioni dalle diverse botti, di Rum, Vino, Bourbon e Whisky, si sono fatte più serrate per poter ricreare quel momento, per noi magico, della creazione della nuova annata di Mansueto 2022 che non vediamo l’ora arrivi nelle vostre mani per poterla finalmente assaggiare.Fra le diverse botti assaggiare due avevano un carattere unico e complesso tanto da meritarsi l’etichetta “Riserva 2022”.The year 2022 also 'gave' us a great vintage for our Mansueto.After periodic tastings during the year that gave us high hopes for an important vintage, in the last few weeks the tastings from the different barrels, of Rum, Wine, Bourbon and Whisky, have become more intense in order to recreate that moment, magical for us, of the creation of the new Mansueto 2022 vintage that we cannot wait for to arrive in your hands so that you can finally taste it.Among the different barrels we tasted, two had such a unique and complex character that they deserved the label 'Riserva 2022'. ",italy
25,4603925,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery,XYAUYÙ FUMÈ - RISERVA 2016,Barleywine - Other,https://untappd.com/b/birrificio-agricolo-baladin-baladin-indipendente-italian-farm-brewery-xyauyu-fume-riserva-2016/4603925,13.8,N/A,4.26,1274,11/20/21, ,italy
26,5871962,Brasseria Della Fonte,VIII Anniversary,Barleywine - English,https://untappd.com/b/brasseria-della-fonte-viii-anniversary/5871962,12.3,N/A,4.26,861,06/16/24,"Blend of barrel aged barleywines and imperial Stout, aged in Bourbon and Tennessee Whiskey oak ",italy
27,5624521,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery,Xyauyu Riserva Teo Musso 2019,Barleywine - Other,https://untappd.com/b/birrificio-agricolo-baladin-baladin-indipendente-italian-farm-brewery-xyauyu-riserva-teo-musso-2019/5624521,14.0,N/A,4.25,719,11/29/23, ,italy
28,3486588,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery,XYAUYÙ FUMÈ - RISERVA 2015,Barleywine - Other,https://untappd.com/b/birrificio-agricolo-baladin-baladin-indipendente-italian-farm-brewery-xyauyu-fume-riserva-2015/3486588,14.0,N/A,4.23,1796,10/18/19,"ITA - Dal colore rubino scuro, piatta, senza schiuma e limpida. Al naso sentori torbati e note maltate tipiche dei whisky sono ben bilanciati su un corpo caldo e sostenuto che si apre nel finale a toni caramellati.In bocca si amalgamano bene il caramello e le note fumè date dalle botti in cui la birra viene affinata e che rimangono nel finale dopo aver concesso un breve accenno all’aroma di frutta matura.ENG - Dark ruby red color, clear, flat and with no head. Its peaty scents and malty notes - typical of whisky - are well balanced on a strong and warm body, which opens to caramel notes in the finish.When you sip it, the caramel and smoky notes coming from the aging barrels blend harmoniously and persist in the final, after a brief appearance of hints of ripe fruit. ",italy
29,1186811,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery,TERRE - ANNATA 2010,Barleywine - Other,https://untappd.com/b/birrificio-agricolo-baladin-baladin-indipendente-italian-farm-brewery-terre-annata-2010/1186811,12.0,35,4.22,1736,08/04/15,"ITALIANO - La birra dedicata da Teo ai grandi vini rossi. Prodotta con riso “nerone” coltivato da “Cascina Belvedere” e orzo dei nostri campi, affinata nelle botti di “Cantina Baladin”. Hanno collaborato al progetto: Arnaldo Caprai, Borgogno, Cantine Del Notaio, Castellare, Ceci, Conti Di Buscareto, Contini, Cottanera, Di Majo, Donnafugata, Fontanafredda, Marchesi Di Barolo, Masseria Liveli, Fratelli Muratori, Palari, San Patrignano, Sassicaia, Tenuta Podernovo, Tenute Silvio Nardi, Terre Di Balbia, Valle Reale, Vigneti Massa. Terre viene messa in botte solamente ogni due anni. TERRE, è ottima bevuta con calma a fine pasto. ENGLISH - This is the beer that Teo has dedicated to great red wines. Made with “Nerone” rice grown by “Cascina Belvedere” in the Vercelli area and barley from our fields, it is aged in the barrels of “Cantina Baladin”. The following producers have cooperated to the project: Arnaldo Caprai, Borgogno, Cantine Del Notaio, Castellare, Ceci, Conti Di Buscareto, Contini, Cottanera, Di Majo, Donnafugata, Fontanafredda, Marchesi Di Barolo, Masseria Liveli, Fratelli Muratori, Palari, San Patrignano, Sassicaia, Tenuta Podernovo, Tenute Silvio Nardi, Terre Di Balbia, Valle Reale and Vigneti Massa. TERRE, is excellent drinking slowly after a meal. ",italy
30,5672528,Brasseria Della Fonte,Triple Vanilla Bean Wondernight,Stout - Imperial / Double,https://untappd.com/b/brasseria-della-fonte-triple-vanilla-bean-wondernight/5672528,12.7,N/A,4.22,370,01/06/24, ,italy
31,5105918,Brasseria Della Fonte,Notte Di Natale 2022 (Rye & Bourbon),Stout - Imperial / Double,https://untappd.com/b/brasseria-della-fonte-notte-di-natale-2022-rye-and-bourbon/5105918,13.2,N/A,4.22,526,11/05/22,"Imperial Christmas Stout Brewed with dark maple syrup (MapleFarm). Aged in Basil Hayden, Knob Creek and High Rye MGPI barrels for 19 to 25 months.Conditioned with house roasted peruvian cocoa nibs and celyon cinnamon.Don't Age this beer, but enjoy fresh during your holiday! ",italy
32,2990111,CRAK Brewery,Mansueto 2017,Barleywine - Other,https://untappd.com/b/crak-brewery-mansueto-2017/2990111,12.0,N/A,4.22,2045,12/15/18,"Blend di Barley Wine invecchiati per un anno in botti di Whisky e tre anni in botti di rum Caroni. Ricca, dalla beva liscia e soddisfacente. / Blend of Barley Wine aged for one year in whiskey barrel+ three years in Caroni rum barrels. Rich, complex and incredibly easy to enjoy. / AWARD: Birra dell’Anno 2020, 2° Cat. Barley WineBirra dell’Anno 2019, 1° Cat. Barrel Aged Barley Wine ",italy
33,4315181,Ritual Lab,Papanero - Bourbon Barrel Aged,Stout - Russian Imperial,https://untappd.com/b/ritual-lab-papanero-bourbon-barrel-aged/4315181,12.5,N/A,4.21,2118,05/15/21, ,italy
34,4846012,Brasseria Della Fonte,VI Anniversary,Barleywine - English,https://untappd.com/b/brasseria-della-fonte-vi-anniversary/4846012,11.0,60,4.2,444,05/17/22,"The blend for our 6° anniversary is:75% English Barleywine aged for 18 months in Apple Brandy Barrels25% Wheated Imperial Stout aged for 18 months in Buffalo Trace Bourbon barrel.Huge flavors of dark chocolate, cocoa, vanilla, toffee and oak, with a Brandy backbone.Full body and good for aging in cellar. ",italy
35,6073427,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery,XYAUYÚ FUMÉ - RISERVA 2019,Barleywine - Other,https://untappd.com/b/birrificio-agricolo-baladin-baladin-indipendente-italian-farm-brewery-xyauyu-fume-riserva-2019/6073427,14.0,15,4.2,351,11/27/24, ,italy
36,6498818,CRAK Brewery,Mansueto 2025,Barleywine - Other,https://untappd.com/b/crak-brewery-mansueto-2025/6498818,13.0,N/A,4.2,559,11/20/25,"Il 2025 è stato un anno straordinario per la nostra Cantina: le botti hanno vissuto un lungo affinamento, con 4 anni nelle barrique di Scotch Whisky, 3 anni in quelle di Rum e 4 anni in quelle di Château Margaux, dando vita a un blend unico e complesso.Il colore ambrato si fa più profondo e intenso, mentre al naso emergono profumi di frutta matura, fichi e prugne, arricchiti da note di miele, spezie dolci e sentori di legno prezioso. Al palato, la struttura si mostra più vigorosa rispetto alla 2024: strati di caramello, vaniglia e cacao si fondono con leggere note tostate, mentre il finale rivela un tocco piccante più deciso, caldo e avvolgente.Quest’annata sorprende per equilibrio, struttura e potenza, offrendo un’esperienza sensoriale intensa e inconfondibile, capace di emozionare sin dal primo assaggio. ",italy
37,4553298,Ritual Lab,Papanero - Bourbon & Maple Syrup Barrel Aged,Stout - Russian Imperial,https://untappd.com/b/ritual-lab-papanero-bourbon-and-maple-syrup-barrel-aged/4553298,12.5,N/A,4.19,2401,10/17/21,Russian Imperial Stout aged in bourbon barrels & maple syrup barrels and then blended to create a unique experience ,italy
38,3031205,CRAK Brewery,Cocoa Take Me Home,Stout - Imperial / Double,https://untappd.com/b/crak-brewery-cocoa-take-me-home/3031205,11.0,N/A,4.19,2704,01/11/19,"Imperial Stout, da 11% vol., una con aggiunta di fave di cacao tostate, caratterizzata da un corpo pieno, denso e mouthfeel cremoso. TAKE ME HOME, è la “traduzione” in inglese di ciò che in Veneto è il cosiddetto “para casa” cioè l’ultima birra, quella birra che, di fatto, ti porta a casa. ",italy
39,5629236,Brasseria Della Fonte,Notte Di Natale 2023 (Bourbon Barrel Aged),Stout - Imperial / Double,https://untappd.com/b/brasseria-della-fonte-notte-di-natale-2023-maple-bourbon-ba/5629236,13.0,N/A,4.18,335,12/02/23,"Imperial Christmas Stout brewed with maple syrup.Aged in a blend of Bourbon barrels for 19 months, then conditioned on organic peruvian toasted and raw cocoa nibs and a soft touch of Cassia cinnamon sticks. ",italy
40,5408046,Brasseria Della Fonte,Caribbean Storm,Stout - Imperial / Double,https://untappd.com/b/brasseria-della-fonte-caribbean-storm/5408046,13.4,N/A,4.18,385,06/18/23,"Double Mash imperial stout brewed with maple syrup then aged 28 months in Bourbon barrels - Basil Hayden & Baker's 7y.Contitioned with roasted cocoa nibs, raw and toasted coconut.This is the sister beer of the imperial stout that we brewed in New Jersey back in february 2020.  ",italy
41,6496068,Brasseria Della Fonte,Notte Di Natale 2025 (Maple & Irish Whiskey Barrel Aged),Stout - Imperial / Double,https://untappd.com/b/brasseria-della-fonte-notte-di-natale-2025-maple-and-irish-whiskey-barrel-aged/6496068,11.2,N/A,4.18,342,11/17/25,"Il blend '25 è di 3 botti (due differenti ricette, con Plato compreso tra 31° e 34°).Una volta trasferito il blend in acciaio, è stato lasciato riposare per alcune settimane affinché ogni componente potesse armonizzarsi con le altre, definendo un profilo gustativo unico.Le fave di cacao provenienti dal Ghana sono tostate e trasformate in granella. La base densa già esaltava tutta la varietà di cioccolato / gianduia ed è stato scelto di procedere alla tostatura prestando attenzione a non esagerare con le temperature. Abbiamo utilizzato anche una parte di fave non tostate. La cannella “Cassia” è stata impiegata sia in stecche sminuzzate sia in polvere. Ne abbiamo usata in quantitativi elevati e tempi di contatto brevi. Ci piace spostare l’impatto aromatico della cannella nel finale della bevuta per accompagnare il ricco e dolce profilo di cacao.Lo sciroppo d’acero è l’insostituibile extra-dark che contribuisce alla dolcezza, conferisce morbidezza e profondità alla “Notte di Natale” e aggiunge ulteriori livelli di complessità ",italy
42,4605676,CRAK Brewery,Mansueto 2021,Barleywine - Other,https://untappd.com/b/crak-brewery-mansueto-2021/4605676,13.0,N/A,4.18,363,11/22/21,"Il momento in cui nasce il nostro Barley Wine è un momento magico. È quel momento nel quale selezioniamo le botti migliori per creare il blend perfetto e dar vita alla nuova annata di Mansueto.Nel 2020 molte botti avevano ancora molto da dare al nostro Barley Wine e abbiamo preso la sofferta decisione di “privarci” della Mansueto 2020 per arrivare al “2021” e creare una delle migliori Mansueto di sempre. Densa e avvolgente, ogni sorso è un viaggio e una scoperta per il gusto.In 2020 many barrels were not yet ready, they still had a lot to give to our Barley Wine so we made the painful decision to not produce the 2020 vintage. That decision allowed us to create one of the best Mansueto ever, Mansueto 2021. Thick and roundend, every sip is a trip. ",italy
43,6305200,Brasseria Della Fonte,IX Anniversary,Barleywine - Other,https://untappd.com/b/brasseria-della-fonte-ix-anniversary/6305200,13.8,N/A,4.18,350,06/15/25, ,italy
44,2154541,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery,TERRE - ANNATA 2012,Barleywine - Other,https://untappd.com/b/birrificio-agricolo-baladin-baladin-indipendente-italian-farm-brewery-terre-annata-2012/2154541,11.0,27,4.18,1194,06/20/17,"ITALIANO - La birra dedicata da Teo ai grandi vini rossi. Prodotta con riso “nerone” coltivato da “Cascina Belvedere” e orzo dei nostri campi, affinata nelle botti di “Cantina Baladin”. Hanno collaborato al progetto: Arnaldo Caprai, Borgogno, Cantine Del Notaio, Castellare, Ceci, Conti Di Buscareto, Contini, Cottanera, Di Majo, Donnafugata, Fontanafredda, Marchesi Di Barolo, Masseria Liveli, Fratelli Muratori, Palari, San Patrignano, Sassicaia, Tenuta Podernovo, Tenute Silvio Nardi, Terre Di Balbia, Valle Reale, Vigneti Massa. Terre viene messa in botte solamente ogni due anni. TERRE, è ottima bevuta con calma a fine pasto. ENGLISH - This is the beer that Teo has dedicated to great red wines. Made with “Nerone” rice grown by “Cascina Belvedere” in the Vercelli area and barley from our fields, it is aged in the barrels of “Cantina Baladin”. The following producers have cooperated to the project: Arnaldo Caprai, Borgogno, Cantine Del Notaio, Castellare, Ceci, Conti Di Buscareto, Contini, Cottanera, Di Majo, Donnafugata, Fontanafredda, Marchesi Di Barolo, Masseria Liveli, Fratelli Muratori, Palari, San Patrignano, Sassicaia, Tenuta Podernovo, Tenute Silvio Nardi, Terre Di Balbia, Valle Reale and Vigneti Massa. TERRE, is excellent drinking slowly after a meal. ",italy
45,5022563,Brasseria Della Fonte,Inno All'Autunno,Belgian Quadrupel,https://untappd.com/b/brasseria-della-fonte-inno-all-autunno/5022563,13.2,N/A,4.17,725,09/16/22,"E’ la rappresentazione in forma liquida della nostra stagione preferita.Brassata a gennaio 2021 con il nostro malto Pils, malto cara50 italiano e un tocco di chocolate, la ricetta prevede aggiunta di zucchero muscovado in più momenti della produzione.Maturata per 17 mesi in botti di American Rye e Irish Whiskey.La scelta è ricaduta su questa tipologia di botti per enfatizzare le speziature ed i particolari aromi di frutta matura del lievito Westmalle. La parte aromatica si distingue per il potente equilibrio tra tutte le componenti. Legno, distillato, charred, vaniglia proveniente dalle botti; cioccolato al latte, frutta secca, caramello caldo, tostature dolci provenienti dai malti;prugne sciroppate, esteri e fenoli contenuti, secchezza proveniente dal lievito.Questa Quadrupel si rivela profonda, introversa e piena di sfumature, come l’autunno appena cominciato. ",italy
46,6441254,Ritual Lab,Barrelborn,Stout - Imperial / Double,https://untappd.com/b/ritual-lab-barrelborn/6441254,15.0,N/A,4.17,930,10/09/25,"Imperial stout aged for 24 months in cognac and Bourbon barrels, produced in collaboration with Moksa Brewing. ",italy
47,4625904,CRAK Brewery,Giotto 2021,Stout - Imperial / Double Pastry,https://untappd.com/b/crak-brewery-giotto-2021/4625904,13.0,N/A,4.15,810,12/05/21,"La prima collaborazione con Pasticceria Giotto è stata il panettone con Magma Bianco.Poi abbiamo preso lo stesso panettone e abbiamo creato Giotto.Giotto è una Pastry Stout piatta, senza bollicine, maturata per 24 mesi in botti di Chardonnay con una grande quantità di Panettone.Densa, oleosa e ovviamente sa di panettone… Giotto.The first collaboration with Pasticceria Giotto was the panettone with Magma Bianco.Then we took the same panettone and created Giotto.Giotto is a flat Pastry Stout, without bubbles, matured for 24 months in Chardonnay barrels with a large amount of Panettone.Dense, oily and obviously tastes like panettone... Giotto. ",italy
48,694995,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery,XYAUYÙ FUMÈ- RISERVA 2010,Barleywine - English,https://untappd.com/b/birrificio-agricolo-baladin-baladin-indipendente-italian-farm-brewery-xyauyu-fume-riserva-2010/694995,14.0,15,4.15,535,05/27/14,"ITALIANO - Rappresenta l’espressione più complessa della ricerca di Teo nella creazione delle sue birre da divano. Una birra ad alta fermentazione che ha subito un processo di macro ossidazione e dodici mesi di maturazione, in botti da whisky scozzese delle Islay, che le donano un naturale aroma torbato. Di colore bruno intenso con riflessi ramati, si presenta al bicchiere priva di schiuma e gasatura.ENGLISH - Xyauyù Fumè is the most complex expression of Teo’s approach to the creation of what he calls “couch beers”, to be enjoyed and savored slowly. It is a top-fermented beer which has undergone macro-oxidation and has been aged for twelve months in Islay Scottish whisky barrels, which give it a natural peaty flavor. It has a deep dark color with copper nuances; when poured, it has no head and no gas. ",italy
49,3896325,Ritual Lab,Papanero - Laphroaig Barrel Aged,Stout - Smoked,https://untappd.com/b/ritual-lab-papanero-laphroaig-barrel-aged/3896325,13.5,N/A,4.15,1251,07/30/20,Russian imperial stout aged in Laphroaig cask.DARK / THICK / PEATED ,italy
