nr,bid,brewery,name,kind,link,abv,ibu,rating,nr_raters,adding_date,text,country
46,5335080,Sibeeria Brewery,"Yummy Raspberry, Blackberry & Vanilla",Sour - Smoothie / Pastry,https://untappd.com/b/sibeeria-yummy-raspberry-blackberry-and-vanilla/5335080,6.1,N/A,4.03,2084,04/28/23,"Pastry Sour Ale w/ Raspberry, Blackberry & Vanilla, 20° Plato, 6.1% ABV. Naše poslední Yummy zmizelo dřív, než jsme čekali, proto jsme se promptně pustili do vaření dalšího. Ječný a pšeničný slad, pšeničné vločky a laktóza s obligátní hromadou vanilky opět vytvořili základ pro nápoj, který jen sotva připomíná pivo. Hlavním důvodem by mohlo být to, že maliny a ostružiny tvoří téměř polovinu jeho objemu. Tohle dekadentně husté, příjemně sladké a krémově husté pivo s osvěžujícím kyselým dojezdem je přesně to, co dnes lidi od tekutých dezertů pro dospělé pod jménem Yummy očekávají.Our last Yummy was gone sooner than we expected, so we promptly got to brewing another one. Malted barley and wheat, flaked wheat and lactose with an overdose of vanilla yet again create the base for what doesn’t really feel like a beer. That is mostly due to the fact that raspberries and blackberries make up almost half of the volume. Decadently thick, pleasantly sweet and smoothly thick with a refreshing tart finish, this is exactly what people came to expect from the liquid dessert for adults called Yummy. ",czech-republic
47,3997082,Pivovar ZICHOVEC,Double Stolen Haze 17,IPA - New England / Hazy,https://untappd.com/b/pivovar-zichovec-double-stolen-haze-17/3997082,7.0,N/A,4.02,1375,10/07/20, ,czech-republic
48,5334576,Sibeeria Brewery,Hungover Sniper,IPA - New England / Hazy,https://untappd.com/b/sibeeria-hungover-sniper/5334576,6.6,N/A,4.02,1770,04/28/23,"New England IPA, 17° Plato, 6.6% ABV. Moderní, hustá, krémová, robustní, světlá, zakalená a chmelem saturovaná NEIPA s obrovským množstvím chmelů Idaho 7, Citra, Motueka a Nectaronu v kombinaci s českými Saturn a Juno. Aroma zralých peckovin, manga, čerstvého pomerančového džusu s nádechem konopí.Modern, thick, creamy, robust, pale, murky NEIPA saturated with Idaho 7, Citra, Motueka, Nectaron, Saturn and Juno hops gives you layers upon layers of ripe stone fruit, mango and fresh orange juice with a touch of dankness. ",czech-republic
49,4288742,Sibeeria Brewery,Yummy Mango with Apricot,Sour - Smoothie / Pastry,https://untappd.com/b/sibeeria-brewery-yummy-mango-with-apricot/4288742,6.7,10,4.02,3314,04/29/21,"Pastry Sour Ale, 22° Plato, 6.7% ABV. Mohlo by být pivo ještě ovocnější, než naše dvě předchozí Yummy? Navýšili jsme množství ovoce a ovesných vloček a navíc přidali slušnou dávku mexické vanilky. Teď opravdu obsahuje více šťávy než piva. Zážitek začíná explozí manga, následuje příjemná vlna meruněk a končí osvěžujícím charakterem ovocného koláče. Jakmile se jednou napijete, je těžké přestat - takže buďte opatrní, protože po tomto zdravém začátku dne nebudete moct jít do práce.Could it get more fruity than our previous Yummy? Sure it does. This time we bumped up the amount of fruit, flaked oats and added a decent dose of Mexican vanilla. Now really more juice than beer, it starts with explosion of mango chased by a pleasant wave of apricots with refreshingly tart finish. After you have a sip it is difficult to stop, so be careful because you won’t go to work after this healthy start of the day. ",czech-republic
0,4529456,Huisstekerij H.ertie,Cuvee Pajottenland (2019),Lambic - Gueuze,https://untappd.com/b/huisstekerij-h-ertie-cuvee-pajottenland-2019/4529456,5.0,N/A,4.37,361,10/01/21, ,germany
1,4756443,FrauGruber Brewing,5th Anniversary Imperial Stout,Stout - Imperial / Double,https://untappd.com/b/fraugruber-brewing-5th-anniversary-imperial-stout/4756443,12.5,N/A,4.28,1306,03/17/22,"The biggest Imperial Stout we’ve brewed to date! Huge amount of roasted malts, protein malts and a production time of almost 18 hours in the brewhouse ? It was then fermented with a blend of our two favorite ESB strains and aged in super rare vanilla bourbon barrels for more than 23 months. Pure decadence! ???⁣ ",germany
2,4082887,ATELIER VRAI,TEST TRACE ISOLATE | 2nd Wave edition | pandemic series 4/6,IPA - Triple New England / Hazy,https://untappd.com/b/atelier-vrai-test-trace-isolate-2nd-wave-edition-pandemic-series-4-6/4082887,9.6,N/A,4.26,2094,12/04/20,"truck fonald dump. We used an insanely large amount of hops again, but switched the hopbill. The 2nd Wave Edition of TEST | TRACE | ISOLATE is packed with tons of Simcoe, Simcoe Cryo, Citra and our favourite 2020 variety Talus aka HBC 692 from Yakima Chief HopsMixed fermentation with 3 different yeast strains plus oats plus wheat in the malt bill and a well hidden Abv of 9.6%... Expect great tropical juice flavours, a pillow-like mouthfeel and a dangerous drinkability. And yes - we have added the Corona quick test to the label, can you smell it? #testtraceisolate #stayathome #stayhoppy ",germany
3,6499182,Sudden Death Brewing Co.,Commotio Cordis,IPA - Imperial / Double New England / Hazy,https://untappd.com/b/sudden-death-brewing-co-commotio-cordis/6499182,8.0,N/A,4.23,2286,11/20/25,"Commotio CordisIPA – Imperial / Double New England / Hazy8,0% - N/A IBUDouble dry hopped Hazy Double IPA with Nelson, Motueka, Rakau, Citra.Collaboration with friends and masters of the haze from Montréal, Canada.Contains barley, wheat, oat ",germany
4,5254591,Sudden Death Brewing Co.,Niche Peach Connoisseur 5000,Sour - Fruited,https://untappd.com/b/sudden-death-brewing-co-niche-peach-connoisseur-5000/5254591,6.0,N/A,4.23,2463,02/28/23,"NICHE PEACH CONNOISSEUR 5000 – Imperial Fruit Sour – 8,0%Niche Peach Connoisseur 5000 continues our series of giant totalitarian robots imposing themselves on us puny humans! We conditioned this colossus on a whopping 500 g. / L of peach, mirabelle plum, and apricot purée and concentrate. We then tamed this stonefruit brute with an an inkling of vanilla and sea salt, smoothing it out. The result is a golden orange treat with a slight yellow head. Pure nectar, limited quantities.  ",germany
5,3840037,ATELIER VRAI,TEST TRACE ISOLATE | pandemic series 4/6,IPA - Triple New England / Hazy,https://untappd.com/b/atelier-vrai-test-trace-isolate-pandemic-series-4-6/3840037,9.5,44,4.23,1149,06/22/20,SHARING IS CARINGhttps://www.youtube.com/watch?v=ncaNlxvTFzg       Hops: Citra T90 | Citra Cryo | Idaho 7 Cryo   Yeast: Special blend with our 3 favourite yeaststrainsP.S. Did you smell the pine needles from the can label? Feel free to left a message in the comment section!  ,germany
6,5301890,Sudden Death Brewing Co.,Lava Blast Cannon,Sour - Fruited,https://untappd.com/b/sudden-death-brewing-co-lava-blast-cannon/5301890,8.0,N/A,4.18,1971,04/04/23,"LAVA BLAST CANNON – Imperial Fruit Sour – 8,0% And many a fire there burns beneath the ground.Lava Blast Cannon is our Imperial Sour base conditioned on a 375 g. / L of strawberry, rhubarb, and lemon purée and concentrate. We then seasoned this jammy delight with a dash of vanilla and sea salt, pie-ing it up like Grandma would.The result is a pinkish red goodie with a light white head. It’s wholesome and comforting. Liquid nostalgia.*CONTAINS LACTOSE* ",germany
