nr,bid,brewery,name,kind,link,abv,ibu,rating,nr_raters,adding_date,text
28,6177131,Mad Scientist,Oolong Lagoon,Sour - Smoothie / Pastry,https://untappd.com/b/mad-scientist-oolong-lagoon/6177131,2.2,N/A,3.82,1043,03/02/25,"Low ABV Ice Cream Smoothie Sour with Peach, Apricot and Oolong tea				 "
29,3410143,Mad Scientist,Double Raspberry Madness,Sour - Smoothie / Pastry,https://untappd.com/b/mad-scientist-double-raspberry-madness/3410143,5.5,N/A,3.82,1505,08/31/19,"Double Fruited Raspberry Smoothie Berliner Weisse, first batch in the August of 2019 with 4% of abv, second batch in the April of 2021 with 5,5% "
30,5027901,Mad Scientist,Artist Juice,Sour - Smoothie / Pastry,https://untappd.com/b/mad-scientist-artist-juice/5027901,3.4,N/A,3.82,412,09/19/22,"Low ABV Smoothie Style Sour Ale with Apricot, Blackcurrant & Yuzu "
31,6380817,Mad Scientist,Blackcurrant Trifle 2025 EDT,Sour - Smoothie / Pastry,https://untappd.com/b/mad-scientist-blackcurrant-trifle-2025-edt/6380817,8.4,N/A,3.82,531,08/17/25,2025 edition of the infamous Blackcurrant Trifle imperial pastry sour 
32,3246940,Mad Scientist,Szilvás Gombóc,Sour - Smoothie / Pastry,https://untappd.com/b/mad-scientist-szilvas-gomboc/3246940,10.0,N/A,3.81,5625,05/25/19,Plum dumpling imperial pastry gose. The first batch has been 12% but for a better experience we lowered it to 10%. 
33,4513617,Mad Scientist,Tangerine Drizzle Cake,Sour - Smoothie / Pastry,https://untappd.com/b/mad-scientist-tangerine-drizzle-cake/4513617,9.0,N/A,3.81,1195,09/20/21,"Tangerine Drizzle Cake Imperial Pastry Sour Ale with Tangerine, Vanilla and Lactoze "
34,4725909,HORIZONT Brewing,"Sour Series - Papaya, Mango & Guava Smoothie Sour Ale",Sour - Smoothie / Pastry,https://untappd.com/b/horizont-brewing-sour-series-papaya-mango-and-guava-smoothie-sour-ale/4725909,8.0,N/A,3.8,759,02/22/22,"First Smoothie Sour Ale from us, we used a lot of papaya, mango and guava for this creamy sweet but sour,  smoothie inspired sour ale. "
35,6680908,MONYO Brewing Co.,MOJO WORKIN'26: Choco Loco Blanco - Ice Cream Smoothie Sour Ale,Sour - Smoothie / Pastry,https://untappd.com/b/monyo-brewing-co-mojo-workin-26-choco-loco-blanco-ice-cream-smoothie-sour-ale/6680908,5.0,N/A,3.8,181,04/21/26,"Drink Choco. Get Loco.White chocolate, juicy peaches, raspberries, and a generous helping of ice cream madness come together in this creamy ice cream smoothie sour ale. Dessert-like and fruity, with a tangy freshness, it disappears from the glass surprisingly quickly. "
36,5921204,Mad Scientist,House On Fire,Sour - Smoothie / Pastry,https://untappd.com/b/mad-scientist-house-on-fire/5921204,5.7,N/A,3.79,986,07/25/24,"Ice Cream Smoothie Sour with Blackcurrant, Black Cherry, Strawberry and Blue Grape collab with our main man, inspiration and friend, Chris of TULETORN (EST) brewed together during BPBW Budapest Beer Week 2024 "
37,4607919,FIRST Craft Beer,Strawberry Shortcake,Sour - Smoothie / Pastry,https://untappd.com/b/first-craft-beer-strawberry-shortcake/4607919,8.0,12,3.79,628,11/24/21,"Azok, akik felnevettek a kekszes epertorta olvasásakor, reméljük, már megkóstolták a sört - hiszen nem füllentünk, az eper és reberbara ízessé, gyümölcsössé; a keksz sűrűvé, süteményessé;a joghurt pedig frissítően savanyúvá varázsolja ezt a lassan desszertkategóriába is sorolhatókülönlegességet. Gyönyörködjünk együtt színeiben, illatában és hagyjuk, hogy elnyeljenek ízei,akárcsak a habos sütemény. 18 éven felüli örök gyerekeknek szeretettel ajánljuk! "
38,4719919,Fehér Nyúl,Purple Meme,Sour - Smoothie / Pastry,https://untappd.com/b/feher-nyul-purple-meme/4719919,5.6,N/A,3.79,347,02/18/22,"Temérdek gyümölcs – málna, kókusz és fekete áfonya – egy berliner weisse alapon, laktózzal és vaníliával kiegészítve. Igazi smoothie élmény, sörbe burkolva!Huge load of fruits - raspberry, coconut and blueberry - in a berliner weisse base, with lactose and vanilla. A real smoothie experience, masked as beer! "
39,4847664,Szent András Sörfőzde,TesztAndrás Kappa.04,Sour - Smoothie / Pastry,https://untappd.com/b/szent-andras-sorfozde-tesztandras-kappa-04/4847664,4.2,25,3.78,252,05/19/22,"A Kappa.04 az első, már-már cukrászati szempontból is irigylésre méltó Szent András pastry ale, ami az osztrák barátaink világhírű almásrétesének, - ahogy ők nevezik: Apfelstrudel - mintájára készült el. Ezt a rétest többnyire vaníliafagylalttal szolgálják fel, így a valódi vanília őrlemény a Kappa.04-ből sem hiányozhat. Savanykás almás jegyek, édeskés fahéj és intenzív vaníliaillat egy nem túl édes, de sörként és sütiként is fenséges desszertsörben. "
40,5140333,Mad Scientist,Royal Lemon Trifle,Sour - Smoothie / Pastry,https://untappd.com/b/mad-scientist-royal-lemon-trifle/5140333,7.5,N/A,3.78,2068,11/30/22,"Imperial Pastry Sour Ale with Lemon, Mandarin and Orange (lemon puree, mandarin puree, malted oat, lactose, orange concentrate, lemon peel, vanilla and salt)The official dessert of Queen Elizabeth's Platinum Jubilee "
41,6597475,Mad Scientist,Szilvás Gombóc Gold EDT,Sour - Smoothie / Pastry,https://untappd.com/b/mad-scientist-szilvas-gomboc-gold-edt/6597475,11.0,N/A,3.77,233,02/11/26,"Imperial Pastry Sour Ale With Plum, Vanilla, Walnuts, Cocoa Beans, Salt, Cinnamon, Lactose & Orange ZestSzilvás Gombóc imperial pastry sour with plum, cinnamon, and bourbon vanilla as a liquid take on one of the most iconic Hungarian plum dumpling desserts has been a bestseller as our first pastry sour, and after the sequels Szilvás Gombóc Double Cinnamon EDT, Tiny Barrel Project Szilvás Gombóc Rum and Szilvás Gombóc Triple Vanilla EDT now it's time for the ultimate edition! No artificial aromas, just natural ingredients. "
42,5966589,UGAR Brewery,Spectrum Series - Domesticated Beast Passion Fruit And Raspberry Parfait,Sour - Smoothie / Pastry,https://untappd.com/b/ugar-brewery-spectrum-series-domesticated-beast-passion-fruit-and-raspberry-parfait/5966589,7.6,N/A,3.77,260,08/31/24,"We have not tamed a monster yet, but it’s our time now. "
43,4466258,Mad Scientist,Barrel Aged Meggyes Pite,Sour - Smoothie / Pastry,https://untappd.com/b/mad-scientist-barrel-aged-meggyes-pite/4466258,8.0,N/A,3.77,383,08/19/21,"Blend of Four Roses Bourbon & Jamaican Rum Barrel Aged Sour Cherry Pie Imperial Pastry Sour AleWe have filled 2 barrels with one of our signature Hungarian cherry pie-inspired imperial pastry sour ale MEGGYES PITE and we have chosen not to release the result as BARREL PROJECT bottles, but in 330ml cans. Obviously, you can expect a thicker and silkier mouthfeel, where the winner of the epic battle between the characteristics of the barrel and the extra added vanilla is no one else, but you! "
44,5516071,HORIZONT Brewing,Sour Series - Unicorn Magic - Sparkle Edition,Sour - Smoothie / Pastry,https://untappd.com/b/horizont-brewing-sour-series-unicorn-magic-sparkle-edition/5516071,4.5,N/A,3.77,592,09/07/23,"Az alap egy epres, szedres, guavás és lime-os pastry sour, amibe vaníliát is tettünk, hogy összehozza a gyümölcsök tagadhatatlanul vadító ízjegyeit, és persze laktózt is, hogy a savanykássága egy kis édességgel párosuljon és adja meg azt az ízélményt, amit belegondoltunk a sörbe. És akkor persze az alapsör kapott egy jó nagy adag ehető csillámot, ami kitöltéskor gyönyörű arany színűre varázsolja a sört. ENStrawberry, blackberry, guava, lime and vanilla give the perfect taste-orgy, while the golden glitters softly dance around in the bittersweet Pastry Sour Ale. With a 4,5%ABV, it's an easy to drink beer, with so much magic happening, that you're going to be amazed!  "
45,6175228,Mad Scientist,Vispipuuro,Sour - Smoothie / Pastry,https://untappd.com/b/mad-scientist-vispipuuro/6175228,10.5,N/A,3.77,993,03/01/25,Imperial Pastry Sour with Cranberry & Vanilla collab with our friends from Tuju (FI)				 
46,5581845,Reketye Brewing Co.,Only You,Sour - Smoothie / Pastry,https://untappd.com/b/reketye-brewing-co-only-you/5581845,4.8,N/A,3.76,215,10/27/23, 
47,4155594,Mad Scientist,DIS TEW MUCH,Sour - Smoothie / Pastry,https://untappd.com/b/mad-scientist-dis-tew-much/4155594,5.5,N/A,3.76,1054,01/26/21,Double Fruited Blackcurrant Passion Fruit and Calamansi Smoothie Sour Ale 
48,6016546,Szent András Sörfőzde,TesztAndrás Kappa.11,Sour - Smoothie / Pastry,https://untappd.com/b/szent-andras-sorfozde-tesztandras-kappa-11/6016546,8.0,21,3.75,219,10/11/24,"A Kappa.11 a magas alkoholtartalma ellenére is könnyen iható desszertsör, amiben a kedvenc málnás-csokis sütinket találjuk meg, csupán folyékony verzióban - legyen szó egy brownie-ról, egy gyümölcsös tejcsokoládéról, vagy a kedvenc csokitortánkról. Ez a süteményes ízeket felvonultató pastry ale kellemes játszik a savanykás-édes ízek összhangjával. Míg a tekintélyes malátaaddíció és csokoládé az édeskés ízekért felelős, a málna a savakat domborítja ki a kortyérzetben. Egy őszi bekuckózáshoz, esti nagy beszélgetésekhez, vagy egy finom süti mellé nem lehet mellé lőni vele. "
49,5977405,Mad Scientist,French Toast,Sour - Smoothie / Pastry,https://untappd.com/b/mad-scientist-french-toast/5977405,6.0,N/A,3.75,860,09/09/24,"French Toast Inspired Pastry Sour Ale With Raspberries, Blueberries, Strawberries And CinnamonWe like pastry sours indeed, but with the classic Hungarian releases Szilvás Gombóc-Rákóczi Túrós-Meggyes Pite the fun never stopped, only started: our French Toast is a delicious breakfast entree that is loved by many, caramelized, fruited and oh so enjoyable! Lactose makes it creamy, vanilla makes it rounded, cinnamon spices it up, and the fruits are, well, the cherry on top! "
